TransactionID,TransactionDate,BankName,CustomerID,AccountType,Branch,TransactionType,Amount,Balance,LoanFlag,RiskCategory,Channel,CustomerAge,Gender,CityTier
202501-60,2025-03-01,Yes Bank,76557,Savings,Delhi,Debit,47199,487095,Yes,High,Branch,22,Female,Tier 3
202501-61,2025-03-02,Axis,87189,Savings,Mumbai,Credit,4127,81295,No,High,Branch,65,Male,Tier 1
202501-62,2025-03-03,Kotak,88953,Savings,Pune,Debit,26439,229686,Yes,Medium,ATM,36,Female,Tier 3
202501-63,2025-03-04,ICICI,62995,Current,Pune,Credit,49425,372833,Yes,Low,Branch,21,Male,Tier 2
202501-64,2025-03-05,HDFC,50757,Loan,Mumbai,Debit,43441,283255,Yes,Low,UPI,52,Female,Tier 1
202501-65,2025-03-06,Yes Bank,19692,Current,Delhi,Credit,22334,309648,No,Medium,ATM,66,Male,Tier 2
202501-66,2025-03-07,ICICI,55758,Savings,Mumbai,Debit,18547,142874,Yes,High,ATM,34,Male,Tier 3
202501-67,2025-03-08,ICICI,82409,Current,Mumbai,Debit,26605,18155,Yes,Low,Online,61,Male,Tier 2
202501-68,2025-03-09,HDFC,81211,Savings,Pune,Debit,10730,476872,Yes,Medium,UPI,45,Male,Tier 2
202501-69,2025-03-10,SBI,75697,Savings,Pune,Credit,16207,311528,Yes,Medium,UPI,47,Male,Tier 2
202501-70,2025-03-11,BOB,47065,Savings,Pune,Credit,22476,384705,Yes,High,UPI,46,Male,Tier 1
202501-71,2025-03-12,ICICI,42606,Savings,Pune,Credit,44762,57254,Yes,Low,ATM,63,Male,Tier 2
202501-72,2025-03-13,HDFC,21534,Current,Mumbai,Credit,24276,294062,No,High,Branch,23,Male,Tier 1
202501-73,2025-03-14,BOB,50397,Loan,Delhi,Credit,30580,95981,Yes,Medium,Online,52,Female,Tier 3
202501-74,2025-03-15,Kotak,11016,Loan,Bangalore,Credit,1806,463929,Yes,High,ATM,58,Female,Tier 3
202501-75,2025-03-16,BOB,99789,Current,Mumbai,Debit,7276,40306,No,Low,Online,54,Female,Tier 2
202501-76,2025-03-17,Yes Bank,65591,Current,Bangalore,Debit,27751,157718,No,Low,Online,41,Male,Tier 1
202501-77,2025-03-18,PNB,99812,Savings,Chennai,Debit,9974,318987,Yes,Medium,Branch,46,Male,Tier 2
202501-78,2025-03-19,BOB,33247,Current,Chennai,Credit,40794,130975,Yes,Medium,ATM,66,Female,Tier 2
202501-79,2025-03-20,Yes Bank,34300,Savings,Delhi,Debit,22459,368745,Yes,High,UPI,63,Male,Tier 1
202501-80,2025-03-21,PNB,84065,Current,Mumbai,Debit,6030,493951,Yes,Low,ATM,48,Male,Tier 3
202501-81,2025-03-22,HDFC,92798,Loan,Mumbai,Debit,29820,117512,Yes,Low,Branch,52,Female,Tier 2
202501-82,2025-03-23,HDFC,19268,Current,Mumbai,Credit,4248,157443,Yes,High,Online,50,Female,Tier 2
202501-83,2025-03-24,Kotak,96807,Current,Delhi,Credit,32468,480587,Yes,High,Branch,69,Male,Tier 3
202501-84,2025-03-25,Kotak,22185,Loan,Chennai,Debit,33062,383616,No,High,ATM,38,Male,Tier 1
202501-85,2025-03-26,PNB,73704,Current,Delhi,Credit,14045,143121,Yes,Low,Online,49,Male,Tier 3
202501-86,2025-03-27,BOB,96779,Loan,Delhi,Debit,1163,172688,No,High,ATM,40,Female,Tier 3
202501-87,2025-03-28,SBI,49099,Savings,Pune,Debit,35266,375871,Yes,High,Online,50,Male,Tier 1
202501-88,2025-03-29,HDFC,18571,Loan,Delhi,Debit,8494,385037,Yes,Medium,ATM,20,Male,Tier 1
202501-89,2025-03-30,Axis,48044,Savings,Bangalore,Credit,28521,293076,No,Low,ATM,35,Male,Tier 1
202501-90,2025-03-31,Yes Bank,61214,Loan,Chennai,Debit,30803,127796,Yes,Medium,Online,42,Female,Tier 3
202501-91,2025-04-01,Kotak,71228,Loan,Delhi,Debit,3804,301999,Yes,Low,ATM,59,Male,Tier 1
202501-92,2025-04-02,BOB,58984,Current,Chennai,Credit,47076,202506,Yes,Medium,ATM,48,Male,Tier 3
202501-93,2025-04-03,ICICI,50774,Current,Pune,Debit,39853,475910,Yes,High,Online,20,Female,Tier 1
202501-94,2025-04-04,ICICI,12568,Current,Bangalore,Debit,18175,184088,Yes,High,ATM,57,Male,Tier 2
202501-95,2025-04-05,HDFC,72592,Savings,Pune,Debit,44917,279544,Yes,Low,UPI,63,Male,Tier 3
202501-96,2025-04-06,Yes Bank,77563,Loan,Chennai,Debit,24438,390002,Yes,High,Branch,41,Male,Tier 2
202501-97,2025-04-07,SBI,12695,Current,Delhi,Debit,24164,183714,Yes,Low,Online,67,Male,Tier 2
202501-98,2025-04-08,PNB,58190,Current,Mumbai,Credit,2136,25151,Yes,High,Branch,49,Male,Tier 3
202501-99,2025-04-09,Yes Bank,15258,Savings,Pune,Debit,20580,454623,Yes,Low,Online,64,Male,Tier 2
202501-100,2025-04-10,ICICI,97538,Loan,Delhi,Credit,28228,76690,No,High,Branch,39,Female,Tier 2
